"id","title_w","link_w","attributes","website_id"
1,"科技焦点","/tbase/1","Tech",NULL
2,"网络生活","/tbase/2","Net",NULL
3,"游戏动漫","/tbase/3","Games",NULL
4,"教学评测","/tbase/4","Test",NULL
5,"IT Times","/tbase/5","IT_T",NULL
6,"活动奖赏","/tbase/6","Act",NULL
7,"特集","/tbase/7","All",NULL
8,"iPhone","/tbase/8","Phone",NULL
9,"5G流動","/tbase/9","5G",NULL
10,"電腦","/tbase/10","Com",NULL
11,"數碼","/tbase/11","Dig",NULL
12,"智能家居","/tbase/12","Int",NULL
13,"科技汽車","/tbase/13","Car",NULL
14,"網絡熱話","/tbase/14","Hot",NULL
15,"生活情報","/tbase/15","Life",NULL
16,"筍買着數","/tbase/16","Tno",NULL
17,"旅遊筍料","/tbase/17","Tra",NULL
18,"手遊攻略","/tbase/18","Hand",NULL
19,"電競遊戲","/tbase/19","Esp",NULL
20,"動漫玩具","/tbase/20","Anime",NULL
21,"應用秘技","/tbase/21","Che",NULL
22,"新品測試","/tbase/22","New",NULL
23,"Apps 情報","/tbase/23","App",NULL
24,"業界頭條","/tbase/24","Work",NULL
25,"AI 策略","/tbase/25","AI",NULL
26,"名家專欄","/tbase/26","Fam",NULL
27,"私隱政策","/tbase/27","Policy",NULL
28,"免責聲明","/tbase/28","Dis",NULL
29,"聯絡/關於我們","/tbase/29","Con",NULL
